icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount,departure_dt,datetime,temperature_2m,precipitation,windspeed_10m,winddirection_10m,weathercode,visibility,cloudcover,flight_duration_s,delayed
4078b8,1685656700,EGLL,1685697167,SBMT,BAW247  ,1531,20,4285.0,665.0,2,2,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,40467,1
a14bdd,1685656573,EGLL,1685693666,MMMX,AMX008  ,1339,17,6996.0,223.0,2,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,37093,0
4bb26a,1685656448,EGLL,1685668257,LTFM,THY4NY  ,1405,50,4872.0,259.0,2,2,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,11809,0
010206,1685656294,EGLL,1685669967,,MSR780  ,1457,50,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,13673,0
89408b,1685656101,EGLL,1685677418,OBBI,GFA006  ,1764,2,20287.0,859.0,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,21317,0
4ca2c9,1685656003,EGLL,1685658928,EICK,EIN725  ,820,10,696.0,114.0,3,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,2925,0
46b82b,1685655933,EGLL,1685666989,LGAV,AEE609  ,1729,89,16614.0,835.0,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,11056,0
76cdc3,1685655795,EGLL,1685701310,WSSS,SIA321  ,1683,2,3425.0,84.0,2,4,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,45515,0
407537,1685655563,EGLL,1685658479,EGPK,SHT6P   ,894,2,19638.0,978.0,3,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,2916,0
7c4921,1685655395,EGLL,1685702383,WSSS,QFA2    ,1509,40,3375.0,84.0,2,4,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,46988,1
76cccd,1685655311,EGLL,1685657662,EHAM,SIA7395 ,623,20,1809.0,80.0,3,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,2351,0
899039,1685655262,EGLL,1685696025,VTBS,EVA068  ,1883,5,8367.0,425.0,2,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,40763,0
4009db,1685655176,EGLL,1685657138,EGCC,SHT2X   ,701,5,802.0,131.0,3,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,1962,0
5001dc,1685655116,EGLL,1685668727,,MEA204  ,1479,111,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,13611,0
8964fc,1685654975,EGLL,1685677847,OMAA,ETD42B  ,1511,50,13336.0,620.0,2,2,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,22872,0
06a2b1,1685654833,EGLL,1685677349,OTHH,QTR1W   ,1543,5,2367.0,34.0,2,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,22516,0
a8e132,1685654748,EGLL,1685679613,KIAD,UAL925  ,1405,28,1779.0,26.0,2,7,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,24865,0
406b4a,1685654665,EGLL,1685669392,,VIR378  ,1548,32,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,14727,0
40688b,1685654538,EGLL,1685691605,FABA,BAW57K  ,1912,17,8608.0,822.0,2,8,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,37067,0
aa9808,1685654359,EGLL,1685689673,SKBO,AVA121  ,1558,5,4658.0,18.0,2,2,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,35314,0
4caf7e,1685654288,EGLL,1685659374,EKCH,SAS1508 ,762,40,8194.0,284.0,3,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,5086,0
77058c,1685654181,EGLL,1685689268,,ALK504  ,1742,12,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,35087,0
405ee1,1685654103,EGLL,1685658609,,BAW8GT  ,1172,104,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,4506,0
406d78,1685653987,EGLL,1685699169,VHHH,BAW27   ,2019,5,2642.0,82.0,2,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,45182,1
80158c,1685653847,EGLL,1685667628,,VTI016  ,1766,2,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,13781,0
4cad7b,1685653759,EGLL,1685657060,EIDW,EIN183  ,765,2,1660.0,73.0,3,4,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,3301,0
4076cc,1685653706,EGLL,1685659096,LIMC,BAW582  ,653,12,1321.0,35.0,3,4,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,5390,0
75044b,1685653597,EGLL,1685696810,,MAS1    ,1391,20,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,43213,0
